client id,name,last name,email1,email2,handle,account number
33194,Thaddeus,Ware,TWare@gmail.com,TWare@hotmail.com,TWare,ES628443312
33195,Eileen,Coffey,ECoffey@gmail.com,ECoffey@hotmail.com,ECoffey,ES223207759
33196,Kody,Ahmed,KAhmed@gmail.com,KAhmed@hotmail.com,KAhmed,ES353696929
33197,Jolie,Shelton,JShelton@gmail.com,JShelton@hotmail.com,JShelton,ES233370012
33198,Leonel,Parsons,LParsons@gmail.com,LParsons@hotmail.com,LParsons,ES150311032
33199,Maia,McLaughlin,MMcLaughlin@gmail.com,MMcLaughlin@hotmail.com,MMcLaughlin,ES326577244
33200,Ibrahim,Christian,IChristian@gmail.com,IChristian@hotmail.com,IChristian,ES709197041
33201,Anahi,Costa,ACosta@gmail.com,ACosta@hotmail.com,ACosta,ES221475938
33202,Kenji,Hahn,KHahn@gmail.com,KHahn@hotmail.com,KHahn,ES913143746
33203,Fallon,Love,FLove@gmail.com,FLove@hotmail.com,FLove,ES567717253
33204,Jeffrey,Wall,JWall@gmail.com,JWall@hotmail.com,JWall,ES443959335
33205,Jayda,Velasquez,JVelasquez@gmail.com,JVelasquez@hotmail.com,JVelasquez,ES837982796
33206,Sullivan,Gaines,SGaines@gmail.com,SGaines@hotmail.com,SGaines,ES388224780
33207,Aya,Pugh,APugh@gmail.com,APugh@hotmail.com,APugh,ES177268945
33208,Judson,Joseph,JJoseph@gmail.com,JJoseph@hotmail.com,JJoseph,ES816342319
33209,Gracelynn,Quinn,GQuinn@gmail.com,GQuinn@hotmail.com,GQuinn,ES873141612
33210,Rhys,Gomez,RGomez@gmail.com,RGomez@hotmail.com,RGomez,ES847280659
